time,value
0.066,-0.01
0.1,-0.01
0.133,-0.01
0.166,-0.01
0.2,-0.02
0.233,-0.02
0.266,-0.02
0.3,0
0.333,0.01
0.366,0.01
0.4,0
0.433,0
0.466,0.02
0.5,0.03
0.533,0
0.566,-0.03
0.6,0
0.633,0.07
0.666,0.08
0.7,0.03
0.733,0.05
0.766,0.11
0.8,0.01
0.833,-0.21
0.866,-0.26
0.9,-0.06
0.933,0.13
0.966,0.17
1,0.12
1.033,-0.01
1.066,-0.16
1.1,-0.17
1.133,0
1.166,0.15
1.2,0.12
1.233,0.01
1.266,-0.05
1.3,-0.02
1.333,0.05
1.366,0.13
1.4,0.17
1.433,0.07
1.466,-0.17
1.5,-0.36
1.533,-0.29
1.566,0.02
1.6,0.29
1.633,0.28
1.666,0.05
1.7,-0.11
1.733,-0.12
1.766,-0.09
1.8,-0.12
1.833,-0.13
1.866,-0.05
1.9,0.1
1.933,0.25
1.966,0.29
2,0.16
2.033,-0.04
2.066,-0.09
2.1,0.09
2.133,0.43
2.166,0.87
2.2,1.38
2.233,1.71
2.266,1.62
2.3,1.12
2.333,0.64
2.366,0.8
2.4,1.61
2.433,2.23
2.466,2.16
2.5,1.8
2.533,1.55
2.566,1.33
2.6,0.88
2.633,0.25
2.666,0
2.7,0.24
2.733,0.38
2.766,0.31
2.8,0.55
2.833,0.99
2.866,1.03
2.9,0.58
2.933,-0.13
2.966,-0.96
3,-1.62
3.033,-1.63
3.066,-1.01
3.1,-0.63
3.133,-1.15
3.166,-2.07
3.2,-2.33
3.233,-1.78
3.266,-1.15
3.3,-0.83
3.333,-0.65
3.366,-0.57
3.4,-0.85
3.433,-1.38
3.466,-1.62
3.5,-1.2
3.533,-0.36
3.566,0.14
3.6,-0.15
3.633,-0.75
3.666,-0.94
3.7,-0.72
3.733,-0.52
3.766,-0.44
3.8,-0.44
3.833,-0.58
3.866,-0.89
3.9,-1.19
3.933,-1.26
3.966,-1.24
4,-1.47
4.033,-1.78
4.066,-1.56
4.1,-0.66
4.133,0.18
4.166,0.39
4.2,0.27
4.233,0.26
4.266,0.28
4.3,0.03
4.333,-0.43
4.366,-0.71
4.4,-0.48
4.433,-0.03
4.466,0.1
4.5,-0.04
4.533,0.01
4.566,0.2
4.6,0.22
4.633,0.14
4.666,0.06
4.7,0.03
4.733,0.12
4.766,0.3
4.8,0.34
4.833,0.31
4.866,0.46
4.9,0.78
4.933,0.99
4.966,0.96
5,0.87
5.033,0.95
5.066,1.22
5.1,1.46
5.133,1.44
5.166,1.34
5.2,1.53
5.233,1.92
5.266,2.14
5.3,2.07
5.333,1.8
5.366,1.49
5.4,1.26
5.433,1.01
5.466,0.7
5.5,0.54
5.533,0.57
5.566,0.5
5.6,0.16
5.633,-0.18
5.666,-0.18
5.7,0.06
5.733,0.2
5.766,0.15
5.8,-0.11
5.833,-0.61
5.866,-1.07
5.9,-1.25
5.933,-1.25
5.966,-1.2
6,-1.09
6.033,-1
6.066,-1.04
6.1,-1.12
6.133,-1.15
6.166,-1.1
6.2,-0.98
6.233,-0.85
6.266,-0.77
6.3,-0.69
6.333,-0.55
6.366,-0.53
6.4,-0.81
6.433,-1.15
6.466,-1.2
6.5,-1.17
6.533,-1.34
6.566,-1.55
6.6,-1.5
6.633,-1.24
6.666,-0.92
6.7,-0.59
6.733,-0.32
6.766,-0.21
6.8,-0.15
6.833,0.08
6.866,0.37
6.9,0.55
6.933,0.62
6.966,0.54
7,0.25
7.033,-0.04
7.066,-0.12
7.1,0.01
7.133,0.13
7.166,0.05
7.2,-0.18
7.233,-0.31
7.266,-0.24
7.3,0
7.333,0.31
7.366,0.48
7.4,0.37
7.433,0.13
7.466,0.11
7.5,0.47
7.533,0.94
7.566,1.14
7.6,1.08
7.633,1
7.666,1
7.7,1.01
7.733,0.95
7.766,0.85
7.8,0.85
7.833,1.08
7.866,1.47
7.9,1.8
7.933,1.93
7.966,1.98
8,2.09
8.033,2.15
8.066,1.9
8.1,1.33
8.133,0.68
8.166,0.23
8.2,-0.05
8.233,-0.28
8.266,-0.3
8.3,-0.09
8.333,0.02
8.366,-0.2
8.4,-0.56
8.433,-0.74
8.466,-0.7
8.5,-0.75
8.533,-1.03
8.566,-1.26
8.6,-1.2
8.633,-0.96
8.666,-0.75
8.7,-0.68
8.733,-0.7
8.766,-0.66
8.8,-0.53
8.833,-0.52
8.866,-0.75
8.9,-1.12
8.933,-1.37
8.966,-1.27
9,-0.86
9.033,-0.48
9.066,-0.4
9.1,-0.56
9.133,-0.8
9.166,-1.05
9.2,-1.21
9.233,-1.14
9.266,-0.95
9.3,-0.83
9.333,-0.76
9.366,-0.74
9.4,-0.73
9.433,-0.57
9.466,-0.26
9.5,-0.08
9.533,-0.1
9.566,-0.02
9.6,0.26
9.633,0.41
9.666,0.24
9.7,0.06
9.733,0.13
9.766,0.2
9.8,0
9.833,-0.32
9.866,-0.53
9.9,-0.48
9.933,-0.14
9.966,0.22
10,0.43
10.033,0.5
10.066,0.36
10.1,0.12
10.133,0.13
10.166,0.36
10.2,0.46
10.233,0.32
10.266,0.19
10.3,0.28
10.333,0.59
10.366,0.9
10.4,1.11
10.433,1.29
10.466,1.48
10.5,1.64
10.533,1.7
10.566,1.64
10.6,1.68
10.633,2.02
10.666,2.43
10.7,2.44
10.733,1.95
10.766,1.29
10.8,0.82
10.833,0.58
10.866,0.42
10.9,0.24
10.933,0.02
10.966,-0.16
11,-0.33
11.033,-0.48
11.066,-0.43
11.1,-0.27
11.133,-0.28
11.166,-0.47
11.2,-0.56
11.233,-0.51
11.266,-0.46
11.3,-0.64
11.333,-0.96
11.366,-1.08
11.4,-1.01
11.433,-1.12
11.466,-1.38
11.5,-1.42
11.533,-1.15
11.566,-0.89
11.6,-0.81
11.633,-0.81
11.666,-0.71
11.7,-0.51
11.733,-0.33
11.766,-0.42
11.8,-0.89
11.833,-1.39
11.866,-1.48
11.9,-1.27
11.933,-1.15
11.966,-1.26
12,-1.33
12.033,-1.14
12.066,-0.77
12.1,-0.35
12.133,0.04
12.166,0.2
12.2,0.06
12.233,-0.08
12.266,-0.03
12.3,0.12
12.333,0.29
12.366,0.35
12.4,0.25
12.433,0.13
12.466,0.18
12.5,0.33
12.533,0.35
12.566,0.15
12.6,-0.08
12.633,-0.13
12.666,-0.1
12.7,-0.1
12.733,0.03
12.766,0.36
12.8,0.67
12.833,0.75
12.866,0.66
12.9,0.67
12.933,0.97
12.966,1.43
13,1.74
13.033,1.79
13.066,1.8
13.1,1.95
13.133,2.18
13.166,2.32
13.2,2.22
13.233,1.84
13.266,1.28
13.3,0.7
13.333,0.16
13.366,-0.21
13.4,-0.37
13.433,-0.43
13.466,-0.42
13.5,-0.23
13.533,0.02
13.566,0.15
13.6,0.09
13.633,-0.06
13.666,-0.07
13.7,0.12
13.733,0.25
13.766,0.13
13.8,-0.2
13.833,-0.58
13.866,-0.82
13.9,-0.88
13.933,-0.92
13.966,-0.94
14,-0.95
14.033,-1.08
14.066,-1.32
14.1,-1.39
14.133,-1.12
14.166,-0.7
14.2,-0.45
14.233,-0.4
14.266,-0.34
14.3,-0.19
14.333,-0.05
14.366,-0.08
14.4,-0.37
14.433,-0.8
14.466,-1.07
14.5,-1.11
14.533,-1.11
14.566,-1.22
14.6,-1.42
14.633,-1.5
14.666,-1.26
14.7,-0.76
14.733,-0.33
14.766,-0.16
14.8,-0.12
14.833,0.08
14.866,0.39
14.9,0.55
14.933,0.43
14.966,0.2
15,0.04
15.033,-0.07
15.066,-0.18
15.1,-0.2
15.133,-0.11
15.166,0.02
15.2,0.16
15.233,0.19
15.266,0.03
15.3,-0.09
15.333,0.05
15.366,0.27
15.4,0.36
15.433,0.37
15.466,0.41
15.5,0.57
15.533,0.8
15.566,1.01
15.6,1.2
15.633,1.46
15.666,1.74
15.7,1.96
15.733,2.11
15.766,2.27
15.8,2.41
15.833,2.36
15.866,2.06
15.9,1.55
15.933,0.83
15.966,0.19
16,-0.07
16.033,-0.11
16.066,-0.19
16.1,-0.34
16.133,-0.54
16.166,-0.67
16.2,-0.54
16.233,-0.25
16.266,-0.05
16.3,0.03
16.333,0.06
16.366,0.05
16.4,-0.1
16.433,-0.34
16.466,-0.57
16.5,-0.82
16.533,-1.07
16.566,-1.05
16.6,-0.75
16.633,-0.6
16.666,-0.78
16.7,-1.05
16.733,-1.15
16.766,-1.09
16.8,-0.9
16.833,-0.57
16.866,-0.34
16.9,-0.4
16.933,-0.55
16.966,-0.54
17,-0.55
17.033,-0.78
17.066,-1.11
17.1,-1.38
17.133,-1.64
17.166,-1.81
17.2,-1.66
17.233,-1.21
17.266,-0.8
17.3,-0.49
17.333,-0.07
17.366,0.42
17.4,0.61
17.433,0.45
17.466,0.27
17.5,0.3
17.533,0.42
17.566,0.44
17.6,0.37
17.633,0.24
17.666,0.07
17.7,0.06
17.733,0.23
17.766,0.2
17.8,-0.18
17.833,-0.54
17.866,-0.55
17.9,-0.25
17.933,0.15
17.966,0.48
18,0.76
18.033,1.17
18.066,1.6
18.1,1.76
18.133,1.66
18.166,1.55
18.2,1.71
18.233,2.09
18.266,2.42
18.3,2.5
18.333,2.32
18.366,1.97
18.4,1.49
18.433,0.94
18.466,0.49
18.5,0.18
18.533,-0.07
18.566,-0.26
18.6,-0.34
18.633,-0.38
18.666,-0.45
18.7,-0.54
18.733,-0.48
18.766,-0.13
18.8,0.22
18.833,0.05
18.866,-0.67
18.9,-1.4
18.933,-1.62
18.966,-1.33
19,-0.97
19.033,-0.74
19.066,-0.59
19.1,-0.55
19.133,-0.67
19.166,-0.71
19.2,-0.56
19.233,-0.42
19.266,-0.47
19.3,-0.67
19.333,-0.82
19.366,-0.73
19.4,-0.47
19.433,-0.33
19.466,-0.45
19.5,-0.69
19.533,-0.9
19.566,-1.12
19.6,-1.31
19.633,-1.37
19.666,-1.36
19.7,-1.44
19.733,-1.45
19.766,-1.19
19.8,-0.72
19.833,-0.22
19.866,0.18
19.9,0.41
19.933,0.41
19.966,0.17
20,-0.04
20.033,0.03
20.066,0.16
20.1,0.11
20.133,0.01
20.166,0.04
20.2,0.18
20.233,0.42
20.266,0.55
20.3,0.29
20.333,-0.15
20.366,-0.26
20.4,-0.04
20.433,0.13
20.466,0.31
20.5,0.73
20.533,1.25
20.566,1.53
20.6,1.62
20.633,1.8
20.666,2.08
20.7,2.32
